[INFO ] 2021-05-09 15:23:35,130 Main.doMain() - Valid execution mode 'gui' for VISAB detected
[INFO ] 2021-05-09 15:23:35,132 Main.doMain() - Starting VISAB as a GUI application.
[DEBUG] 2021-05-09 15:24:31,844 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 92 entries now.
[DEBUG] 2021-05-09 15:24:31,945 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 93 entries now.
[DEBUG] 2021-05-09 15:24:32,047 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 94 entries now.
[DEBUG] 2021-05-09 15:24:32,148 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 95 entries now.
[DEBUG] 2021-05-09 15:24:32,250 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 96 entries now.
[DEBUG] 2021-05-09 15:24:32,351 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 97 entries now.
[DEBUG] 2021-05-09 15:24:32,453 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 98 entries now.
[DEBUG] 2021-05-09 15:24:32,554 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 99 entries now.
[DEBUG] 2021-05-09 15:24:32,656 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 100 entries now.
[DEBUG] 2021-05-09 15:24:32,758 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 101 entries now.
[DEBUG] 2021-05-09 15:24:32,859 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 102 entries now.
